Time,Open,High,Low,Last,Change,%Chg,Volume
02/19/2020,7113.7,7144.6,7102.9,7144.6,30.9,+0.43%,0
02/18/2020,7125.1,7125.1,7096.8,7113.7,-11.4,-0.16%,0
02/17/2020,7130.2,7137.4,7104.4,7125.1,-5.1,-0.07%,0
02/14/2020,7103.2,7138.4,7101.1,7130.2,27,+0.38%,0
02/13/2020,7088.2,7145.8,7086.8,7103.2,15,+0.21%,0
02/12/2020,7055.3,7098.6,7055.1,7088.2,32.9,+0.47%,0
02/11/2020,7012.5,7070.2,7012.5,7055.3,42.8,+0.61%,0
02/10/2020,7022.6,7024.4,6982.6,7012.5,-10.1,-0.14%,0
02/07/2020,7049.2,7051.6,7002,7022.6,-26.6,-0.38%,0
02/06/2020,6976.1,7050,6976.1,7049.2,73.1,+1.05%,0
02/05/2020,6948.7,7009.3,6948.7,6976.1,27.4,+0.39%,0
02/04/2020,6923.3,6963.3,6915,6948.7,25.4,+0.37%,0
02/03/2020,7017.2,7017.2,6897,6923.3,-93.9,-1.34%,0
01/31/2020,7008.4,7046.7,7008.4,7017.2,8.8,+0.13%,0
01/30/2020,7031.5,7038.2,6993,7008.4,-23.1,-0.33%,0
01/29/2020,6994.5,7046.8,6994.5,7031.5,37,+0.53%,0
01/28/2020,7088,7090.5,6964.7,6994.5,-96,-1.35%,0
01/24/2020,7088,7122.7,7085.7,7090.5,2.5,+0.04%,0
01/23/2020,7132.7,7132.7,7068.8,7088,-44.7,-0.63%,0
01/22/2020,7066.3,7144.9,7062.2,7132.7,66.4,+0.94%,0
01/21/2020,7079.5,7079.5,7040.7,7066.3,-13.2,-0.19%,0
01/20/2020,7064.1,7092.5,7064.1,7079.5,15.4,+0.22%,0
01/17/2020,7041.8,7088.1,7041.8,7064.1,22.3,+0.32%,0
01/16/2020,6994.8,7041.8,6994.8,7041.8,47,+0.67%,0
01/15/2020,6962.2,6996.8,6960.4,6994.8,32.6,+0.47%,0
01/14/2020,6903.7,6962.8,6903.7,6962.2,58.5,+0.85%,0
01/13/2020,6929,6929,6880.7,6903.7,-25.3,-0.37%,0
01/10/2020,6874.2,6933.2,6874.2,6929,54.8,+0.80%,0
01/09/2020,6817.6,6889.2,6817.6,6874.2,56.6,+0.83%,0
01/08/2020,6826.4,6831.7,6749.6,6817.6,-8.8,-0.13%,0
01/07/2020,6735.7,6834.3,6735.7,6826.4,90.7,+1.35%,0
01/06/2020,6733.1,6738.6,6671.7,6735.7,2.2,+0.03%,0
01/03/2020,6690.6,6788.2,6690.6,6733.5,42.9,+0.64%,0
01/02/2020,6693.8,6709.2,6669.2,6690.6,6.5,+0.10%,0
"Downloaded from Barchart.com as of 04-16-2021 07:30am CDT"
